filename,type,lat,lon,altitude_m,camera_direction_deg,bearing_to_fuji_deg,distance_to_fuji_km,date_taken,time_taken,make,model,lens_model,focal_length_mm,f_number,exposure_time_s,iso,width_px,height_px
IMG_0304.HEIC,HEIC,33.9575611,139.2819972,10930.7,334.7,342.15,164.05,2023-11-01,15:34:23,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/2857,32,3024,4032
IMG_0324.HEIC,HEIC,34.2199667,140.0003361,8723.4,305.97,317.86,172.04,2023-11-01,15:39:29,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/3021,40,3024,4032
IMG_0364.HEIC,HEIC,35.4359583,140.8010722,3712.5,262.46,268.05,188.14,2023-11-01,15:54:05,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/5618,32,3024,4032
IMG_3460.HEIC,HEIC,35.4987528,138.7661583,851.3,133.7,192.89,15.76,2023-11-07,16:47:38,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/40,250,6048,8064
IMG_3472.JPG,JPG,35.4988283,138.7564383,863.0,264.39,189.72,15.59,2023-11-07,16:51:11,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/220,32,1537,2048
IMG_3483.HEIC,HEIC,35.5126639,138.7692722,838.3,256.27,192.66,17.33,2023-11-07,17:05:05,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/50,125,3024,4032
IMG_3550.HEIC,HEIC,35.5099194,138.7603917,849.7,201.67,190.21,16.87,2023-11-07,22:45:39,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,10.0,1250,3024,4032
IMG_3585.HEIC,HEIC,35.5098833,138.7603306,849.8,220.14,190.2,16.87,2023-11-08,06:56:25,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/1543,50,4284,5712
IMG_3623.HEIC,HEIC,35.512775,138.7673806,839.2,182.79,192.09,17.3,2023-11-08,07:32:07,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/1103,50,6048,8064
IMG_3632.HEIC,HEIC,35.5127556,138.7665417,829.2,188.88,191.85,17.29,2023-11-08,07:35:59,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/2857,50,6048,8064
IMG_3655.HEIC,HEIC,35.5128278,138.7666639,835.1,188.81,191.88,17.3,2023-11-08,07:41:52,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/2242,40,3024,4032
IMG_3660.HEIC,HEIC,35.5128444,138.7666639,840.4,192.37,191.88,17.3,2023-11-08,07:43:42,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/654,32,3024,4032
IMG_3803.HEIC,HEIC,35.5244222,138.7627417,834.9,189.77,189.98,18.5,2023-11-08,09:06:02,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/5076,40,6048,8064
IMG_3815.HEIC,HEIC,35.5244417,138.762725,842.2,187.86,189.97,18.5,2023-11-08,09:13:30,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/3663,32,3024,4032
IMG_3870.HEIC,HEIC,35.5227556,138.7456667,844.4,186.45,185.25,18.11,2023-11-08,09:41:34,Apple,iPhone 15,iPhone 15 back dual wide camera 1.54mm f/2.4,1.5,2.4,1/1410,25,3024,4032
IMG_3976.HEIC,HEIC,35.522475,138.7452861,838.9,184.45,185.15,18.07,2023-11-08,10:01:13,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/4630,50,6048,8064
IMG_4160.HEIC,HEIC,35.5034861,138.7769472,1092.1,191.31,195.79,16.51,2023-11-08,11:59:54,Apple,iPhone 15,iPhone 15 back dual wide camera 1.54mm f/2.4,1.5,2.4,1/3040,25,3024,4032
IMG_4229.HEIC,HEIC,35.4495694,138.8024889,970.4,128.07,214.55,12.01,2023-11-08,14:19:28,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/7692,25,3024,4032
IMG_6821 1.JPG,JPG,35.1392133,138.6416633,16.0,134.89,17.53,25.82,2023-11-13,14:32:00,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/2500,40,1536,2048
IMG_6883.HEIC,HEIC,35.3658167,139.3342278,28.0,47.12,269.57,55.03,2023-11-13,14:53:33,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/1642,40,3024,4032
IMG_7242.HEIC,HEIC,35.7686,140.3887,,,184.14,134.98,2023-11-14,14:40:08,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/7194,40,3024,4032
IMG_7278.HEIC,HEIC,35.1414833,138.7412111,10998.9,358.06,357.06,24.4,2023-11-14,14:56:34,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/3937,40,3024,4032
IMG_7284.HEIC,HEIC,35.1361167,138.6311806,11123.1,15.03,19.26,26.45,2023-11-14,14:57:27,Apple,iPhone 15,iPhone 15 back dual wide camera 1.54mm f/2.4,1.5,2.4,1/3040,25,3024,4032
IMG_E3407.HEIC,HEIC,35.5041556,138.8150167,744.3,267.58,206.47,17.83,2023-11-07,16:15:23,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/811,32,2746,3662
IMG_E3582.HEIC,HEIC,35.5099056,138.760375,848.0,195.4,190.21,16.87,2023-11-08,06:55:04,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/456,32,3024,4032
IMG_E7286.JPG,JPG,35.1315222,138.586975,11271.9,22.85,26.55,28.49,2023-11-14,14:57:45,Apple,iPhone 15,iPhone 15 back dual wide camera 5.96mm f/1.6,6.0,1.6,1/5618,40,4971,6627
