filename,name,extension,date_created,time_created,size,dimensions,duration,hour,minute,sec,orientation
CDAU5332.JPG,CDAU5332,JPG,2025-06-27,09:28:42,1414959,2160x3840,,9,28,42,vertical
IMG_0246.JPG,IMG_0246,JPG,2025-06-27,15:47:43,1266349,1980x3520,,15,47,43,vertical
IMG_3169.JPG,IMG_3169,JPG,2025-06-27,09:06:46,1456357,4032x2268,,9,6,46,horizontal
IMG_3170.JPG,IMG_3170,JPG,2025-06-27,09:06:57,3382041,5712x3213,,9,6,57,horizontal
IMG_3171.JPG,IMG_3171,JPG,2025-06-27,09:08:31,3057088,5712x3213,,9,8,31,horizontal
IMG_3172.JPG,IMG_3172,JPG,2025-06-27,09:09:12,3372553,5712x3213,,9,9,12,horizontal
IMG_3175.JPG,IMG_3175,JPG,2025-06-27,09:20:15,1627645,4032x2268,,9,20,15,horizontal
IMG_3176.JPG,IMG_3176,JPG,2025-06-27,09:20:17,1943175,4032x2268,,9,20,17,horizontal
IMG_3179.JPG,IMG_3179,JPG,2025-06-27,09:55:01,3719632,5712x3213,,9,55,1,horizontal
IMG_3180.JPG,IMG_3180,JPG,2025-06-27,09:58:58,1810901,4032x2268,,9,58,58,horizontal
IMG_3181.JPG,IMG_3181,JPG,2025-06-27,10:28:53,4285011,3213x5712,,10,28,53,vertical
IMG_3182.JPG,IMG_3182,JPG,2025-06-27,10:30:20,3060247,5712x3213,,10,30,20,horizontal
IMG_3184.JPG,IMG_3184,JPG,2025-06-27,15:22:29,3185427,5712x3213,,15,22,29,horizontal
IMG_3185.JPG,IMG_3185,JPG,2025-06-27,15:23:16,3563136,5712x3213,,15,23,16,horizontal
IMG_3186.JPG,IMG_3186,JPG,2025-06-27,15:24:26,3342647,5712x3213,,15,24,26,horizontal
IMG_3188.JPG,IMG_3188,JPG,2025-06-27,15:24:56,3185436,5712x3213,,15,24,56,horizontal
IMG_3189.JPG,IMG_3189,JPG,2025-06-27,15:26:49,3831606,5712x3213,,15,26,49,horizontal
IMG_3191.JPG,IMG_3191,JPG,2025-06-27,15:28:51,3398467,5712x3213,,15,28,51,horizontal
IMG_3192.JPG,IMG_3192,JPG,2025-06-27,15:28:55,3521146,5712x3213,,15,28,55,horizontal
IMG_6427.JPG,IMG_6427,JPG,2025-06-27,17:13:19,3815290,4032x3024,,17,13,19,horizontal
IMG_6428.JPG,IMG_6428,JPG,2025-06-27,17:15:00,3868966,4032x3024,,17,15,0,horizontal
IMG_6429.JPG,IMG_6429,JPG,2025-06-27,17:15:02,3810590,4032x3024,,17,15,2,horizontal
